repo,node,link,path,title or task,content type,task priority,linktitle,description,weight,lines,word_count,h2_sections,h3_sections,code_blocks,snippets,images,internal_links,external_links,has_admonition,http_status,notes
user-guide,A06-B04,"=HYPERLINK(""https://kubevirt.io/user-guide/network/networkpolicy"",""link"")",network/networkpolicy.md,NetworkPolicy,How-to,,,,,85,224,4,0,4,yaml,0,0,0,,200,
user-guide,A06-B05,"=HYPERLINK(""https://kubevirt.io/user-guide/network/service_objects"",""link"")",network/service_objects.md,Service objects,How-to,,,,,192,655,4,0,4,yaml,0,0,2,,200,
user-guide,A06-B06-C00,"=HYPERLINK(""https://kubevirt.io/user-guide/network/hotplug/interfaces"",""link"")",network/hotplug/interfaces.md,Hotplug Network Interfaces,How-to,,,,,335,979,5,3,11,bash yaml,0,5,11,,200,
user-guide,A06-B06-C01,"=HYPERLINK(""https://kubevirt.io/user-guide/network/hotplug/nad_reference"",""link"")",network/hotplug/nad_reference.md,Live update NAD Reference,Reference,,,,,105,297,3,0,4,yaml,0,2,2,,200,
user-guide,A07-B00,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/clone_api"",""link"")",storage/clone_api.md,Clone API,Reference,,,,,238,1046,2,7,6,bash yaml,0,4,0,,200,
user-guide,A07-B01,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/containerized_data_importer"",""link"")",storage/containerized_data_importer.md,Containerized Data Importer,How-to,,,,,294,1348,8,2,1,shell,0,0,9,yes,200,
user-guide,A07-B02,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/csi_overlay"",""link"")",storage/csi_overlay.md,CSI Overlay for VM State PVCs,How-to,,,,,135,634,4,0,11,bash yaml,0,0,2,yes,200,
user-guide,A07-B03,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/disks_and_volumes"",""link"")",storage/disks_and_volumes.md,"Filesystems, Disks and Volumes",How-to,,,,,2161,5541,4,23,49,bash shell xml yaml,0,26,16,,200,
user-guide,A07-B04,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/export_api"",""link"")",storage/export_api.md,Export API,Reference,,,,,649,2096,0,9,24,bash sh yaml,0,1,1,,200,
user-guide,A07-B05,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/guestfs"",""link"")",storage/guestfs.md,Usage of libguestfs-tools and virtctl guestfs,How-to,,,,,167,421,2,0,7,`bash bash,0,0,3,,200,
user-guide,A07-B06,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/hotplug_volumes"",""link"")",storage/hotplug_volumes.md,Hotplug Volumes,How-to,,,,,241,747,5,12,9,bash yaml,0,4,1,,200,
user-guide,A07-B07,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/migration_controller"",""link"")",storage/migration_controller.md,KubeVirt Migration Controller,Tutorial,,,,,148,132,6,0,7,shell yaml,0,1,1,,200,
user-guide,A07-B08,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/snapshot_restore_api"",""link"")",storage/snapshot_restore_api.md,Snapshot Restore API,Reference,,,,,239,1658,9,2,8,bash yaml,0,1,3,,200,
user-guide,A07-B09,"=HYPERLINK(""https://kubevirt.io/user-guide/storage/volume_migration"",""link"")",storage/volume_migration.md,Update volume strategy and volume migration,How-to,,,,,331,1257,6,3,12,bash diff sh yaml,0,0,1,,200,
